listing_id,host_is_superhost,host_listings_count,host_total_listings_count,neighbourhood_cleansed,latitude,longitude,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,bath_qty,is_shared_bath,room_type_Hotel room,room_type_Private room,has_smoke_alarm,has_carbon_monoxide_alarm,has_wifi,has_hot_water,has_hangers,has_essentials,has_bed_linens,has_kitchen,has_hair_dryer,has_refrigerator,amenities_count,property_type_Hotel_B_and_B,property_type_House,property_type_Other_Unique,has_license,has_review,occupancy_rate
46128218,0,280,446,North Cambridge,42.39272051306391,-71.13214136834335,3,2.0,2.0,135.0,29,365,4.43,4.31,4.52,4.87,4.83,4.61,4.31,0,97,1.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,30,0,0,0,0,1,0.5863013698630137
46244582,0,280,446,West Cambridge,42.37322242624265,-71.12368416653392,5,3.0,3.0,175.0,29,365,4.64,4.64,4.6,4.89,4.91,5.0,4.72,0,97,1.0,0.0,False,False,1,1,1,1,1,1,1,1,0,1,30,0,0,0,0,1,0.4438356164383562
46331232,0,280,446,North Cambridge,42.39367822251965,-71.1321033842697,3,3.0,3.0,120.0,29,365,4.07,3.93,4.07,4.71,4.36,4.5,4.07,0,97,1.0,0.0,False,False,1,1,1,1,1,1,1,1,0,1,29,0,0,0,0,1,0.5260273972602739
46344417,0,280,446,West Cambridge,42.37407229389279,-71.12395523700508,5,3.0,3.0,174.0,29,365,4.72,4.64,4.7,4.81,4.81,4.98,4.57,0,97,1.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,33,0,0,0,0,1,0.5917808219178082
46345955,0,280,446,North Cambridge,42.39255,-71.13198,4,3.0,3.0,117.0,29,365,4.37,4.26,4.22,4.7,4.56,4.44,4.22,0,97,1.0,0.0,False,False,1,1,1,1,1,1,1,1,0,1,32,0,0,0,0,1,0.6219178082191781
46434097,0,280,446,North Cambridge,42.39437303610396,-71.1326055956302,3,2.0,2.0,105.0,29,365,3.91,3.82,3.95,4.41,4.36,4.32,3.95,0,97,1.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,34,0,0,0,0,1,0.5835616438356165
46471580,0,280,446,North Cambridge,42.39221643117695,-71.13329646187074,3,2.0,2.0,110.0,29,365,4.55,4.59,4.59,4.88,4.9,4.71,4.45,0,97,1.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,31,0,0,0,0,1,0.4876712328767123
46601955,1,262,1126,Cambridgeport,42.36063,-71.10224,3,1.0,1.0,225.0,30,270,5.0,5.0,5.0,5.0,5.0,5.0,4.75,1,12,1.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,40,0,0,0,0,1,0.8794520547945206
46602118,1,262,1126,Cambridgeport,42.36072,-71.10138,3,1.0,1.0,235.0,30,270,5.0,5.0,4.0,5.0,4.0,5.0,5.0,1,12,1.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,40,0,0,0,0,1,0.9561643835616438
46602128,1,262,1126,Cambridgeport,42.359,-71.09996,3,1.0,1.0,225.0,30,270,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,12,1.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,40,0,0,0,0,1,0.8821917808219178
