id,host_is_superhost,host_listings_count,host_total_listings_count,neighbourhood_cleansed,latitude,longitude,property_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,bath_qty,is_shared_bath,room_type_Hotel room,room_type_Private room,has_smoke_alarm,has_carbon_monoxide_alarm,has_wifi,has_hot_water,has_hangers,has_essentials,has_bed_linens,has_kitchen,has_hair_dryer,has_refrigerator,amenities_count,property_type_clean,has_license,has_review
1380581474225293413,0,169,234,East Cambridge,42.36901,-71.07894,Private room in rental unit,2,1.0,1.0,105.0,30,365,4.86,4.89,4.87,4.95,4.945,4.93,4.72,0,83,1.0,1.0,False,True,1,1,1,1,1,1,1,1,1,1,37,Apartment,0,0
1380756151232730831,1,12,12,Wellington-Harrington,42.3704760099686,-71.0917657259649,Entire rental unit,13,5.0,6.0,486.0,2,180,5.0,5.0,5.0,5.0,5.0,5.0,4.88,0,5,3.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,64,Apartment,0,1
1382164920114729515,1,12,12,The Port,42.36849,-71.09452,Entire rental unit,8,4.0,5.0,352.0,2,365,5.0,5.0,5.0,5.0,5.0,5.0,4.96,0,5,2.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,60,Apartment,0,1
1382181491841133270,1,12,12,Wellington-Harrington,42.36805023857854,-71.09377012260526,Entire rental unit,8,4.0,4.0,379.0,2,365,5.0,4.96,5.0,4.96,5.0,4.86,4.86,0,5,2.0,0.0,False,False,1,1,1,1,0,1,1,1,1,1,61,Apartment,0,1
1383640708826380397,1,12,12,Wellington-Harrington,42.37237,-71.09573,Entire rental unit,16,8.0,9.0,1486.0,2,365,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,5,4.0,0.0,False,False,1,1,1,1,0,1,1,1,1,1,58,Apartment,0,1
1385416357920651990,0,1,1,West Cambridge,42.37643682626226,-71.14782273817026,Entire rental unit,6,3.0,3.0,600.0,2,365,4.94,4.94,4.94,5.0,5.0,4.78,4.94,0,1,2.0,0.0,False,False,1,1,1,1,0,0,0,1,1,1,26,Apartment,0,1
1386358600461246628,0,55,56,Riverside,42.36576,-71.10854,Private room in home,2,1.0,2.0,93.0,1,365,4.36,4.56,4.04,4.76,4.8,4.88,4.32,0,16,2.0,1.0,False,True,0,0,1,1,0,1,1,0,0,1,15,House,0,1
1386369150239003217,0,55,56,Riverside,42.36558,-71.10805,Private room in home,2,1.0,1.0,96.0,1,365,4.55,4.55,4.4,4.9,4.8,4.9,4.65,0,16,2.0,1.0,False,True,0,0,1,1,0,1,1,0,0,1,15,House,0,1
1388518018571007986,1,5,11,Agassiz,42.38469778707693,-71.11610278762599,Entire home,16,4.0,9.0,686.0,2,365,5.0,4.97,5.0,4.95,5.0,5.0,4.95,0,1,2.5,0.0,False,False,1,1,1,1,1,1,1,1,1,1,66,House,0,1
1389043547642682075,1,50,57,East Cambridge,42.36297,-71.07964,Entire rental unit,12,4.0,5.0,685.0,2,365,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,7,2.0,0.0,False,False,1,1,1,1,1,0,1,1,1,1,59,Apartment,0,1
