host_is_superhost,neighbourhood_cleansed,latitude,longitude,accommodates,bedrooms,price,minimum_nights,maximum_nights,review_scores_rating,instant_bookable,calculated_host_listings_count,bath_qty,is_shared_bath,room_type_Hotel room,room_type_Private room,has_smoke_alarm,has_carbon_monoxide_alarm,has_wifi,has_hot_water,has_hangers,has_essentials,has_bed_linens,has_kitchen,has_hair_dryer,has_refrigerator,amenities_count,property_type_Hotel_B_and_B,property_type_House,property_type_Other_Unique,has_license,has_review,occupancy_rate
1,The Port,42.36583,-71.09803,7,3.0,383.0,7,180,4.91,0,3,1.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,48,0,0,0,1,1,0.1726027397260274
0,Neighborhood Nine,42.38862,-71.12554,2,1.0,124.0,237,1125,5.0,0,3,1.0,0.0,False,False,1,1,1,1,1,1,1,1,1,0,23,0,1,0,0,1,0.3260273972602739
0,North Cambridge,42.39605,-71.134,2,1.0,103.0,91,1125,4.67,0,1,1.0,0.0,False,True,1,1,1,0,0,1,0,1,0,0,11,0,0,0,0,1,1.0
1,West Cambridge,42.37843,-71.14272,5,1.0,150.0,2,1125,4.65,0,1,1.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,38,0,0,0,1,1,0.8602739726027397
1,Mid-Cambridge,42.3677,-71.10584,2,0.0,210.0,21,150,4.94,1,9,1.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,54,0,0,0,1,1,0.4301369863013699
1,Strawberry Hill,42.37664,-71.15157,2,1.0,119.0,30,1125,4.95,0,2,1.0,0.0,False,True,1,1,1,1,0,0,0,1,1,1,22,0,1,0,0,1,0.9178082191780822
1,The Port,42.36935,-71.09845,6,3.0,324.0,30,255,4.77,0,10,2.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,35,0,0,0,1,1,0.4356164383561643
1,The Port,42.36896,-71.09846,6,3.0,364.0,30,255,4.82,0,10,2.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,37,0,0,0,1,1,0.4438356164383562
1,Mid-Cambridge,42.36949,-71.10605,2,1.0,287.0,4,21,4.94,0,1,1.0,0.0,False,False,1,0,1,1,1,1,1,1,1,1,44,0,0,0,1,1,0.0602739726027397
1,Mid-Cambridge,42.3706,-71.10504,2,1.0,165.0,3,1125,4.85,0,1,1.0,0.0,False,False,1,1,1,1,1,1,1,0,1,1,30,0,0,0,0,1,0.7972602739726027
1,The Port,42.36721,-71.0987,2,0.0,233.0,30,255,4.8,0,10,1.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,37,0,0,0,1,1,0.2547945205479452
1,Strawberry Hill,42.38019,-71.15465,3,1.0,198.0,5,90,4.93,0,1,1.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,65,0,1,0,1,1,0.0986301369863013
0,Cambridgeport,42.35679,-71.10917,7,4.0,265.0,3,1125,4.57,0,1,2.5,0.0,False,False,1,1,1,1,0,1,1,1,1,1,57,0,0,0,1,1,0.0
1,North Cambridge,42.39805,-71.13249,2,1.0,228.0,2,29,4.94,0,1,1.0,0.0,False,False,1,1,1,1,1,1,1,0,1,1,28,0,0,0,1,1,0.0438356164383561
1,The Port,42.36715,-71.09655,5,2.0,311.0,30,270,4.85,0,10,2.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,38,0,0,0,1,1,0.4931506849315068
1,Agassiz,42.38563,-71.11684,4,2.0,176.0,31,1125,4.93,0,1,1.0,0.0,False,False,1,1,1,0,0,1,0,0,0,0,11,0,0,0,1,1,0.1945205479452054
1,Mid-Cambridge,42.37094,-71.11306,4,2.0,361.0,30,730,4.45,0,2,1.0,0.0,False,False,1,1,1,1,1,1,0,1,1,0,29,0,0,0,1,1,0.7315068493150685
1,Agassiz,42.3839,-71.11932,1,1.0,57.0,3,25,4.83,0,1,1.0,0.0,False,True,1,0,1,1,0,1,0,0,1,1,11,0,1,0,0,1,0.0904109589041095
1,Mid-Cambridge,42.373089,-71.114189,4,2.0,445.0,30,1124,4.6,0,2,1.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,55,0,0,0,1,1,0.4630136986301369
1,West Cambridge,42.37456,-71.1334,5,3.0,456.0,30,1125,4.95,0,1,2.5,0.0,False,False,1,1,1,1,0,1,0,1,0,0,18,0,1,0,0,1,0.7698630136986301
1,The Port,42.36705,-71.0966,5,2.0,395.0,30,360,4.85,0,10,2.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,41,0,0,0,1,1,0.4575342465753425
1,West Cambridge,42.38308,-71.13517,2,1.0,200.0,3,30,4.92,0,1,1.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,41,0,0,1,1,1,0.3424657534246575
0,The Port,42.37067,-71.09913,2,1.0,127.0,32,730,4.43,0,6,1.0,0.0,False,False,1,1,1,1,1,1,0,1,0,1,17,0,0,0,0,1,0.3260273972602739
0,Neighborhood Nine,42.3849,-71.1304,4,2.0,350.0,2,1125,4.86,0,2,1.0,0.0,False,False,1,1,1,0,1,1,0,1,0,1,22,0,0,0,1,1,0.0767123287671232
1,West Cambridge,42.38085,-71.13546,6,2.0,281.0,30,365,4.71,0,2,1.0,0.0,False,False,1,1,1,1,1,1,0,1,1,1,56,0,1,0,1,1,0.4684931506849315
1,North Cambridge,42.3965,-71.1367,5,3.0,194.0,1,1125,4.92,0,7,2.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,69,0,1,0,1,1,0.4684931506849315
1,North Cambridge,42.39671,-71.13664,1,1.0,81.0,1,1125,4.95,0,7,1.0,0.0,False,True,1,1,1,1,1,1,1,0,1,1,48,0,1,0,1,1,0.6191780821917808
1,Mid-Cambridge,42.370338599238416,-71.10498960027722,5,2.0,247.0,2,28,4.91,0,1,1.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,62,0,0,0,1,1,0.3753424657534246
1,Agassiz,42.38411,-71.11523,5,2.0,420.0,4,27,4.97,1,1,1.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,47,0,0,0,1,1,0.2931506849315068
0,North Cambridge,42.39525,-71.12717,4,2.0,185.0,120,1125,5.0,0,1,1.0,0.0,False,False,1,1,1,0,0,1,0,1,0,0,12,0,0,0,0,1,0.7424657534246575
0,Neighborhood Nine,42.38461,-71.135,2,1.0,67.0,1,120,4.64,0,1,1.0,1.0,False,True,1,1,1,1,1,1,1,1,1,1,48,0,0,0,0,1,0.3123287671232876
0,West Cambridge,42.37921,-71.12535,3,2.0,255.0,91,1125,4.0,0,1,1.0,0.0,False,False,1,1,0,1,1,1,1,1,0,1,29,0,0,0,0,1,0.6547945205479452
1,Neighborhood Nine,42.38469,-71.12199,1,1.0,134.0,2,100,4.98,0,2,1.0,1.0,False,True,1,1,1,1,1,1,1,1,1,1,35,0,1,0,1,1,0.2821917808219178
1,Neighborhood Nine,42.38321,-71.12094,1,1.0,110.0,2,100,4.98,0,2,1.0,1.0,False,True,1,1,1,1,1,0,0,0,1,1,31,0,1,0,1,1,0.2356164383561644
1,North Cambridge,42.39479,-71.13499,1,1.0,83.0,1,730,4.92,0,7,1.0,1.0,False,True,1,1,1,1,1,1,1,1,1,1,50,0,0,0,1,1,0.9068493150684932
1,Mid-Cambridge,42.37114,-71.11399,1,1.0,259.0,30,730,4.85,0,4,1.0,1.0,False,True,1,1,1,1,1,1,1,1,1,1,42,0,0,0,1,1,0.3013698630136986
1,Mid-Cambridge,42.37283,-71.10458,1,1.0,104.0,2,7,4.94,0,1,1.0,1.0,False,True,1,1,1,1,1,1,1,0,1,1,25,0,0,0,0,1,0.1150684931506849
0,Cambridgeport,42.35647,-71.10564,2,1.0,113.0,2,1125,4.94,0,1,1.0,0.0,False,True,1,1,1,1,1,1,1,0,1,0,19,0,1,0,0,1,0.2273972602739726
0,Mid-Cambridge,42.3751,-71.1059,2,1.0,150.0,31,125,4.81,0,2,1.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,33,0,0,0,0,1,0.5698630136986301
0,The Port,42.36898,-71.09753,1,1.0,60.0,32,1125,4.67,0,6,2.0,1.0,False,True,1,1,1,0,1,1,0,1,0,1,22,0,1,0,1,1,0.1534246575342465
1,Mid-Cambridge,42.37346,-71.10526,2,1.0,135.0,90,1124,4.81,0,5,1.0,0.0,False,False,1,1,1,1,1,1,1,1,0,1,31,0,0,1,0,1,0.4602739726027397
1,Mid-Cambridge,42.37464,-71.10695,2,1.0,122.0,90,368,4.94,0,5,1.0,0.0,False,False,1,1,1,1,1,1,0,1,0,1,25,0,0,1,1,1,0.4273972602739726
1,Mid-Cambridge,42.37544,-71.10703,2,0.0,126.0,90,365,4.89,0,5,1.0,0.0,False,False,1,1,1,1,1,1,0,1,0,1,24,0,0,1,1,1,0.4986301369863014
1,Mid-Cambridge,42.37461,-71.10693,2,0.0,143.0,100,700,4.96,0,5,1.0,0.0,False,False,1,1,1,1,1,1,1,1,0,1,32,0,1,0,1,1,0.3287671232876712
1,Mid-Cambridge,42.37526,-71.1066,2,0.0,129.0,90,1124,5.0,0,5,1.0,0.0,False,False,1,1,1,1,1,1,0,1,1,1,27,0,0,1,1,1,0.0767123287671232
0,Riverside,42.36398,-71.11554,2,0.0,122.0,91,151,5.0,0,4,1.0,0.0,False,False,1,1,1,1,1,1,0,1,1,1,30,0,1,0,0,1,0.6657534246575343
0,Mid-Cambridge,42.36875,-71.10541,1,1.0,105.0,10,365,4.86,0,1,1.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,28,0,0,0,0,1,0.5315068493150685
1,East Cambridge,42.36958,-71.08429,1,1.0,121.0,3,90,4.87,0,4,2.0,1.0,False,True,1,1,1,1,1,1,0,0,1,1,28,0,0,0,1,1,0.8958904109589041
